size lang var cont dim AUC SD	
10% English 2 20 20 0.524463187916 0.0497858217756
10% English 2 20 50 0.543595537564 0.0463147598802
10% English 2 20 100 0.55309752569 0.0495298951344
10% English 2 20 200 0.51652170467 0.0437490914375
10% English 2 20 500 0.531866742412 0.0542042638284
10% English 4 20 5 0.521392454286 0.0355719508642
10% English 4 20 10 0.504636558755 0.0416064522252
10% English 4 20 20 0.529969459288 0.0442048541112
10% English 4 20 50 0.559737778262 0.0410685879894
10% English 4 20 100 0.531648403375 0.0381089001483
10% English 4 20 200 0.552421894721 0.0395282585826
10% English 4 20 500 0.535839964064 0.0383372106421
10% English 10 20 5 0.564651788456 0.032537372727
10% English 10 20 10 0.564751314916 0.0318716540002
10% English 10 20 20 0.585261675485 0.0354152182192
10% English 10 20 50 0.612315750679 0.0315158692804
10% English 10 20 100 0.608634359019 0.0299157027741
10% English 10 20 200 0.602240747723 0.0292919154905
10% English 10 20 500 0.605692167872 0.0319400694559
10% English 19 20 5 0.620505937479 0.0362911665005
10% English 19 20 10 0.64437780292 0.0350725428335
10% English 19 20 20 0.664295684528 0.0350421672985
10% English 19 20 50 0.649849679869 0.0377746494892
10% English 19 20 100 0.646076067656 0.0315356507464
10% English 19 20 200 0.646460531386 0.0297994882361
10% English 19 20 500 0.641601040305 0.0337323074852
10% English 41 20 5 0.726668736483 0.0138616927601
10% English 41 20 10 0.761003644211 0.0133964146333
10% English 41 20 20 0.770382072029 0.0128004962188
10% English 41 20 50 0.772357648289 0.012652762427
10% English 41 20 100 0.77258739801 0.0122902132925
10% English 41 20 200 0.757279435622 0.0139450076281
10% English 41 20 500 0.715468355412 0.0129694966583
10% English 80 20 5 0.709239562763 0.0150551336543
10% English 80 20 10 0.731088304413 0.0148021489609
10% English 80 20 20 0.74537375595 0.0146082727812
10% English 80 20 50 0.722299709864 0.0133181343507
10% English 80 20 100 0.718577483705 0.015027434572
10% English 80 20 200 0.694883239856 0.013012705433
10% English 80 20 500 0.686440790255 0.0150546864642
10% English 160 20 5 0.700489810343 0.0137187424652
10% English 160 20 10 0.705507764129 0.0134526062023
10% English 160 20 20 0.708631230914 0.0131411739613
10% English 160 20 50 0.713959668204 0.0132420745557
10% English 160 20 100 0.71941350497 0.013332470723
10% English 160 20 200 0.684034180255 0.0151508950491
10% English 160 20 500 0.676124774852 0.014149367003
10% English 320 20 5 0.666324940657 0.0127567044334
10% English 320 20 10 0.690389880239 0.0150079735908
10% English 320 20 20 0.687827281293 0.0148086453391
10% English 320 20 50 0.666114823618 0.0145071672829
10% English 320 20 100 0.644585632184 0.0129258784064
10% English 320 20 200 0.659479140446 0.0127256719694
10% English 320 20 500 0.63269061095 0.0142825846276
10% Japanese 2 10 5 0.543311599967 0.0542527348548
10% Japanese 2 10 10 0.524917807216 0.0529177865187
10% Japanese 2 10 20 0.549612453775 0.0515189854594
10% Japanese 2 10 50 0.575949850631 0.0561035457027
10% Japanese 2 10 100 0.559285059252 0.0567875472502
10% Japanese 2 10 200 0.574562791963 0.0555794880016
10% Japanese 2 10 500 0.590545257258 0.0526319082312
10% Japanese 4 10 5 0.493649360419 0.0376763117613
10% Japanese 4 10 10 0.507753979589 0.0386699377365
10% Japanese 4 10 20 0.524355325571 0.0379278021262
10% Japanese 4 10 50 0.532846804414 0.0421980653163
10% Japanese 4 10 100 0.534303737447 0.035876262649
10% Japanese 4 10 200 0.530708373201 0.0390906329896
10% Japanese 4 10 500 0.529448070839 0.041532581581
10% Japanese 8 10 5 0.582852981538 0.0228199270768
10% Japanese 8 10 10 0.611943181432 0.0245719918168
10% Japanese 8 10 20 0.617626118171 0.0234945902267
10% Japanese 8 10 50 0.620851415039 0.0246261260099
10% Japanese 8 10 100 0.612718287294 0.0241346168022
10% Japanese 8 10 200 0.624554876713 0.022428813456
10% Japanese 8 10 500 0.610014283968 0.0235156678471
10% Japanese 13 10 5 0.581617428874 0.0318030800084
10% Japanese 13 10 10 0.596272924869 0.0262284436088
10% Japanese 13 10 20 0.607551179443 0.0266750563499
10% Japanese 13 10 50 0.600890806081 0.025793790159
10% Japanese 13 10 100 0.624906954248 0.0246697190713
10% Japanese 13 10 200 0.603632006845 0.0230778742635
10% Japanese 13 10 500 0.637513754749 0.0289876358623
10% Japanese 25 10 5 0.794841124695 0.0160025363716
10% Japanese 25 10 10 0.829700008122 0.0141310237833
10% Japanese 25 10 20 0.868546276645 0.012312005583
10% Japanese 25 10 50 0.870381161422 0.0107418781087
10% Japanese 25 10 100 0.837244987166 0.00970302612607
10% Japanese 25 10 200 0.805815546601 0.0112542512361
10% Japanese 25 10 500 0.7900648514 0.0120543519184
10% Japanese 50 10 5 0.76094778574 0.00990002809416
10% Japanese 50 10 10 0.798235631486 0.0090877089587
10% Japanese 50 10 20 0.839173080597 0.0082111681178
10% Japanese 50 10 50 0.845546067789 0.00866171672523
10% Japanese 50 10 100 0.828631979488 0.00834534646589
10% Japanese 50 10 200 0.79044919421 0.00884116631983
10% Japanese 50 10 500 0.743309764624 0.00992016798533
10% Japanese 100 10 5 0.760014005036 0.0106452579929
10% Japanese 100 10 10 0.792366984843 0.00829700285132
10% Japanese 100 10 20 0.818880802568 0.0083554785533
10% Japanese 100 10 50 0.817906940194 0.00821585591465
10% Japanese 100 10 100 0.798555877308 0.00923284339374
10% Japanese 100 10 200 0.757059359225 0.00984224639185
10% Japanese 100 10 500 0.722934861905 0.0100190041233
10% Japanese 200 10 5 0.713492083868 0.0098024491594
10% Japanese 200 10 10 0.749325299347 0.00939997572719
10% Japanese 200 10 20 0.779820040739 0.00951780948243
10% Japanese 200 10 50 0.772053827284 0.00844279268554
10% Japanese 200 10 100 0.767456117021 0.009026140523
10% Japanese 200 10 200 0.730675979257 0.00880497752443
10% Japanese 200 10 500 0.682567625054 0.00813379310023
10% English 2 50 5 0.512560932499 0.0565268086697
10% English 2 50 10 0.535009280405 0.0535694721728
10% English 2 50 20 0.557551514744 0.0542116340643
10% English 2 50 50 0.53326002412 0.0481842048995
10% English 2 50 100 0.521704005702 0.0538155403702
10% English 2 50 200 0.520161494806 0.051042383391
10% English 2 50 500 0.511922502263 0.0513404186615
10% English 4 50 5 0.554551073841 0.0384637730345
10% English 4 50 10 0.516756874065 0.0431012640334
10% English 4 50 20 0.501558522572 0.0412785813969
10% English 4 50 50 0.522888541005 0.0361257824314
10% English 4 50 100 0.520884042642 0.0406864558266
10% English 4 50 200 0.516719671668 0.0381943680898
10% English 4 50 500 0.512069717151 0.0400856627967
10% English 10 50 5 0.57457893438 0.0275203477585
10% English 10 50 10 0.590176750213 0.0327071453531
10% English 10 50 20 0.587004527124 0.0312195021508
10% English 10 50 50 0.602411288054 0.0285109992963
10% English 10 50 100 0.62314187864 0.0282494649162
10% English 10 50 200 0.625218439004 0.0312638587889
10% English 10 50 500 0.62023679827 0.0285624287739
10% English 19 50 5 0.58956467923 0.0376988997954
10% English 19 50 10 0.614631998035 0.0334776043765
10% English 19 50 20 0.6265418229 0.0340680817108
10% English 19 50 50 0.616196358146 0.0360102096152
10% English 19 50 100 0.655719475143 0.0332822638827
10% English 19 50 200 0.666051736943 0.0317715966363
10% English 19 50 500 0.660340487232 0.0331340518893
10% English 41 50 5 0.735400105124 0.0146424696805
10% English 41 50 10 0.77016228595 0.012990631061
